id,tipo,lat,lon,privada,personas,fecha
81,"Escuelas de educación media superior del sector público",21.8737453,-102.3196465,0,6,2010-07-01
83,"Escuelas de educación media superior del sector público",21.8949259,-102.3227088,0,6,2010-07-01
151,"Escuelas de educación media superior del sector público",21.8863188,-102.2631629,0,6,2010-07-01
224,"Escuelas del sector privado que combinan diversos niveles de educación",21.8780051,-102.2680642,1,6,2010-07-01
284,"Escuelas del sector privado que combinan diversos niveles de educación",21.9126585,-102.3297647,1,6,2010-07-01
286,"Escuelas del sector privado que combinan diversos niveles de educación",21.8689107,-102.3292934,1,6,2010-07-01
300,"Escuelas del sector privado que combinan diversos niveles de educación",21.8617257,-102.2951849,1,6,2010-07-01
316,"Escuelas del sector privado que combinan diversos niveles de educación",21.8791556,-102.3030059,1,6,2010-07-01
341,"Escuelas de educación media superior del sector público",21.8366149,-102.2849320,0,6,2010-07-01
492,"Escuelas de educación superior del sector público",21.8979016,-102.2741172,0,6,2010-07-01
827,"Escuelas de educación secundaria general del sector público",21.8978995,-102.2741154,0,6,2010-07-01
832,"Escuelas de educación secundaria general del sector público",21.9002256,-102.3099968,0,6,2010-07-01
848,"Escuelas de educación secundaria técnica del sector público",21.8889463,-102.2763376,0,6,2010-07-01
851,"Escuelas de educación secundaria técnica del sector público",21.8795031,-102.2551875,0,6,2010-07-01
862,"Escuelas de educación secundaria técnica del sector público",21.8965163,-102.3080851,0,6,2010-07-01
876,"Escuelas de educación secundaria técnica del sector público",21.8577312,-102.2541868,0,6,2010-07-01
878,"Escuelas de educación secundaria técnica del sector público",21.8824682,-102.2484298,0,6,2010-07-01
1069,"Escuelas de educación superior del sector público",21.8781805,-102.2631009,0,7,2010-07-01
1071,"Escuelas de educación superior del sector privado",21.9339879,-102.3412031,1,6,2010-07-01
1510,"Escuelas de educación superior del sector privado",21.8669327,-102.2946212,1,7,2010-07-01
1515,"Escuelas de educación superior del sector privado",21.9162369,-102.3067102,1,6,2010-07-01
1525,"Escuelas de educación superior del sector privado",21.9418201,-102.2999320,1,6,2010-07-01
1528,"Escuelas de educación superior del sector público",21.8938195,-102.2839178,0,6,2010-07-01
1530,"Escuelas de educación superior del sector privado",21.8585155,-102.3421864,1,6,2010-07-01
1535,"Escuelas de educación superior del sector privado",21.8246673,-102.2846891,1,7,2010-07-01
180,"Escuelas de educación media superior del sector público",21.9108193,-102.2774798,0,6,2014-12-01
196,"Escuelas de educación media superior del sector público",21.8695413,-102.2714187,0,6,2014-12-01
230,"Escuelas de educación superior del sector público",21.8528152,-102.3176544,0,6,2014-12-01
342,"Escuelas de educación media superior del sector público",21.8839007,-102.2880524,0,6,2014-12-01
489,"Escuelas de educación superior del sector público",21.8734535,-102.2815162,0,6,2014-12-01
491,"Escuelas de educación superior del sector público",22.0007495,-102.2028898,0,6,2014-12-01
806,"Escuelas de educación secundaria general del sector público",21.9135523,-102.2536181,0,6,2014-12-01
825,"Escuelas de educación secundaria general del sector público",21.9409685,-102.2565863,0,6,2014-12-01
231,"Escuelas de educación superior del sector público",21.8504987,-102.3185831,0,6,2019-11-01
276,"Escuelas de educación media superior del sector público",21.8656631,-102.2971521,0,7,2019-11-01
1062,"Escuelas del sector privado que combinan diversos niveles de educación",21.8398239,-102.3236617,1,6,2019-11-01
1513,"Escuelas de educación superior del sector público",21.9113686,-102.3118633,0,7,2019-11-01
1537,"Escuelas de educación superior del sector público",21.8071172,-102.2943711,0,7,2020-04-01
1799,"Escuelas de educación media superior del sector público",32.6189645,-115.4987592,0,6,2010-07-01
1826,"Escuelas de educación media superior del sector público",31.8960042,-116.5750725,0,6,2010-07-01
1901,"Escuelas de educación media superior del sector público",32.5399399,-116.9250663,0,6,2010-07-01
1945,"Escuelas de educación superior del sector privado",32.6539199,-115.4100879,1,7,2010-07-01
1946,"Escuelas de educación superior del sector privado",32.5055362,-116.9250792,1,7,2010-07-01
1963,"Escuelas de educación media superior del sector público",31.8763659,-116.6802849,0,6,2010-07-01
1975,"Escuelas del sector privado que combinan diversos niveles de educación",32.5268883,-117.0280372,1,6,2010-07-01
2063,"Escuelas de educación superior del sector privado",31.8755719,-116.6532885,1,6,2010-07-01
2133,"Escuelas de educación media superior del sector público",32.6387271,-115.5056994,0,6,2010-07-01
2210,"Escuelas de educación media superior del sector público",31.8574064,-116.6116634,0,6,2010-07-01
2211,"Escuelas de educación media superior del sector público",32.6624501,-115.4533060,0,6,2010-07-01
2232,"Escuelas de educación media superior del sector público",31.8270392,-116.6080945,0,6,2010-07-01
2237,"Escuelas de educación media superior del sector público",32.6398482,-115.4981007,0,6,2010-07-01
2242,"Escuelas de educación media superior del sector público",32.4904656,-116.9318464,0,6,2010-07-01
2246,"Escuelas de educación media superior del sector público",32.6043828,-115.4743124,0,6,2010-07-01
2280,"Escuelas del sector privado que combinan diversos niveles de educación",32.5199972,-116.9882454,1,6,2010-07-01
2298,"Escuelas de educación media superior del sector privado",32.5196052,-117.1015967,1,6,2010-07-01
2329,"Escuelas del sector privado que combinan diversos niveles de educación",32.5040710,-117.0030660,1,6,2010-07-01
2350,"Escuelas del sector privado que combinan diversos niveles de educación",32.4616019,-116.8793845,1,6,2010-07-01
2441,"Escuelas del sector privado que combinan diversos niveles de educación",32.5207711,-117.0188148,1,6,2010-07-01
2450,"Escuelas de educación media superior del sector público",32.5133870,-116.9709966,0,6,2010-07-01
2476,"Escuelas de educación superior del sector privado",31.8709325,-116.6567422,1,6,2010-07-01
2479,"Escuelas de educación superior del sector privado",32.5331337,-117.0523817,1,7,2010-07-01
2785,"Escuelas de educación superior del sector público",32.4809835,-116.9283981,0,6,2010-07-01
3601,"Escuelas de educación secundaria general del sector público",32.6645241,-115.4237373,0,6,2010-07-01
3621,"Escuelas de educación secundaria general del sector público",32.6044792,-115.3887960,0,6,2010-07-01
3731,"Escuelas de educación secundaria técnica del sector público",32.5397082,-116.9279428,0,6,2010-07-01
3858,"Escuelas de educación media superior del sector privado",32.6171368,-115.4395277,1,6,2010-07-01
3862,"Escuelas de educación superior del sector público",32.6301867,-115.4830515,0,7,2010-07-01
3863,"Escuelas de educación superior del sector público",31.8256732,-116.5989627,0,7,2010-07-01
3864,"Escuelas de educación superior del sector público",32.6136009,-115.4718737,0,6,2010-07-01
3865,"Escuelas de educación superior del sector público",32.6287335,-115.4391156,0,6,2010-07-01
3876,"Escuelas de educación superior del sector público",32.6318202,-115.4547773,0,6,2010-07-01
3954,"Escuelas de educación superior del sector privado",32.5017083,-116.9355899,1,6,2010-07-01
3959,"Escuelas de educación superior del sector privado",32.5151667,-117.1039319,1,7,2010-07-01
4082,"Escuelas de educación superior del sector público",32.4074393,-115.1949392,0,6,2010-07-01
4120,"Escuelas del sector privado que combinan diversos niveles de educación",32.6587075,-115.4122779,1,6,2010-07-01
4160,"Escuelas del sector privado que combinan diversos niveles de educación",32.5003058,-116.9879145,1,6,2010-07-01
